random_state,target,r2,Modelo,posicion
1,macro_order_richness_z,0.3106852262826322,RF Individual,4
1,macro_order_richness_z,0.2972643828738355,MLP Perdida Custom,5
1,macro_order_richness_z,0.2699068902203085,RandomForest Multisalida,6
1,macro_order_richness_z,0.1886287683924327,XGBoost Individual,7
1,macro_order_richness_z,0.1521030756371686,Regresión Individual,8
1,macro_shannon_z,0.3517989732830517,XGBoost Multisalida,1
1,macro_shannon_z,0.3276728756105698,XGBoost Individual,2
1,macro_shannon_z,0.302078790804701,Random Forest con RegressorChain,3
1,macro_shannon_z,0.296755779360907,RF Individual,4
1,macro_shannon_z,0.2344610456106598,MLP Estandar,5
1,macro_shannon_z,0.2296678183692551,MLP Perdida Custom,6
1,macro_shannon_z,0.2083138881805097,RandomForest Multisalida,7
1,macro_shannon_z,0.1257139074895296,Regresión Individual,8
1,meso_shannon_z,-0.1159888626053562,RandomForest Multisalida,1
1,meso_shannon_z,-0.1910191842006323,RF Individual,2
1,meso_shannon_z,-0.2498916095231236,Regresión Individual,3
1,meso_shannon_z,-0.2781467129805499,XGBoost Individual,4
1,meso_shannon_z,-0.3336044014276216,Random Forest con RegressorChain,5
1,meso_shannon_z,-0.3457542349540816,XGBoost Multisalida,6
1,meso_shannon_z,-0.3556023996137358,MLP Perdida Custom,7
1,meso_shannon_z,-0.6014998928371478,MLP Estandar,8
1,meso_species_richness_z,-0.0189116129452466,RandomForest Multisalida,1
1,meso_species_richness_z,-0.0325485820500999,Random Forest con RegressorChain,2
1,meso_species_richness_z,-0.0653852315801213,RF Individual,3
1,meso_species_richness_z,-0.0959168294079584,Regresión Individual,4
1,meso_species_richness_z,-0.1251157277952064,XGBoost Multisalida,5
1,meso_species_richness_z,-0.1809318149826448,XGBoost Individual,6
1,meso_species_richness_z,-0.2104784341630969,MLP Perdida Custom,7
1,meso_species_richness_z,-0.3303466279987239,MLP Estandar,8
1,nematode_shannon_z,0.2075767014606376,XGBoost Multisalida,1
1,nematode_shannon_z,0.1597041551444321,RandomForest Multisalida,2
1,nematode_shannon_z,0.1569778820403614,RF Individual,3
1,nematode_shannon_z,0.1543698890453749,Random Forest con RegressorChain,4
1,nematode_shannon_z,0.1367928685847697,XGBoost Individual,5
1,nematode_shannon_z,0.1084365870464123,MLP Perdida Custom,6
1,nematode_shannon_z,0.1079528198218252,MLP Estandar,7
1,nematode_shannon_z,0.011160511952442,Regresión Individual,8
1,oomy_asv_richness_z,0.2056396216345652,RF Individual,1
1,oomy_asv_richness_z,0.1855042702881404,RandomForest Multisalida,2
1,oomy_asv_richness_z,0.1845063565039446,Random Forest con RegressorChain,3
1,oomy_asv_richness_z,0.1612379598088434,XGBoost Multisalida,4
1,oomy_asv_richness_z,0.1034625001826371,Regresión Individual,5
1,oomy_asv_richness_z,0.0733622030756572,XGBoost Individual,6
1,oomy_asv_richness_z,0.0275516218975916,MLP Perdida Custom,7
1,oomy_asv_richness_z,-0.0020415013793135,MLP Estandar,8
1,oomy_shannon_z,0.122172666375022,MLP Estandar,1
1,oomy_shannon_z,0.1216219662771169,RandomForest Multisalida,2
1,oomy_shannon_z,0.1018786140036051,Random Forest con RegressorChain,3
1,oomy_shannon_z,0.0907147575041285,MLP Perdida Custom,4
1,oomy_shannon_z,0.0869448795617706,XGBoost Individual,5
1,oomy_shannon_z,0.0857221154957514,Regresión Individual,6
1,oomy_shannon_z,0.068395138346233,RF Individual,7
1,oomy_shannon_z,0.0341915341220548,XGBoost Multisalida,8
1,orib_shannon_z,0.2252456132718628,XGBoost Multisalida,1
1,orib_shannon_z,0.224342134844889,MLP Estandar,2
1,orib_shannon_z,0.2243302362996468,MLP Perdida Custom,3
